name,pID,totAllStar,nbaAllStar,abaAllStar
Kareem Abdul-Jabbar,abdulka01,19,19,0
Kobe Bryant,bryanko01,18,18,0
LeBron James,jamesle01,18,18,0
Julius Erving,ervinju01,16,11,5
Tim Duncan,duncati01,15,15,0
Kevin Garnett,garneke01,15,15,0
Shaquille O'Neal,onealsh01,15,15,0
Michael Jordan,jordami01,14,14,0
Karl Malone,malonka01,14,14,0
Dirk Nowitzki,nowitdi01,14,14,0
Jerry West,westje01,14,14,0
Wilt Chamberlain,chambwi01,13,13,0
Bob Cousy,cousybo01,13,13,0
John Havlicek,havlijo01,13,13,0
Moses Malone,malonmo01,13,12,1
Dwyane Wade,wadedw01,13,13,0
Rick Barry,barryri01,12,8,4
Larry Bird,birdla01,12,12,0
Kevin Durant,duranke01,12,12,0
George Gervin,gervige01,12,9,3
Elvin Hayes,hayesel01,12,12,0
Magic Johnson,johnsma02,12,12,0
Hakeem Olajuwon,olajuha01,12,12,0
Chris Paul,paulch01,12,12,0
Oscar Robertson,roberos01,12,12,0
Bill Russell,russebi01,12,12,0
Dolph Schayes,schaydo01,12,12,0
Isiah Thomas,thomais01,12,12,0
Charles Barkley,barklch01,11,11,0
Elgin Baylor,bayloel01,11,11,0
Chris Bosh,boshch01,11,11,0
Patrick Ewing,ewingpa01,11,11,0
Artis Gilmore,gilmoar01,11,6,5
Allen Iverson,iversal01,11,11,0
Bob Pettit,pettibo01,11,11,0
Ray Allen,allenra02,10,10,0
Carmelo Anthony,anthoca01,10,10,0
Paul Arizin,arizipa01,10,10,0
Clyde Drexler,drexlcl01,10,10,0
Hal Greer,greerha01,10,10,0
James Harden,hardeja01,10,10,0
Jason Kidd,kiddja01,10,10,0
Paul Pierce,piercpa01,10,10,0
David Robinson,robinda01,10,10,0
John Stockton,stockjo01,10,10,0
Robert Parish,parisro01,9,9,0
Gary Payton,paytoga01,9,9,0
Russell Westbrook,westbru01,9,9,0
Lenny Wilkens,wilkele01,9,9,0
Dominique Wilkins,wilkido01,9,9,0
Vince Carter,cartevi01,8,8,0
Dave Cowens,cowenda01,8,8,0
Stephen Curry,curryst01,8,8,0
Anthony Davis,davisan02,8,8,0
Dave DeBusschere,debusda01,8,8,0
Alex English,englial01,8,8,0
Larry Foust,foustla01,8,8,0
Dwight Howard,howardw01,8,8,0
Bob Lanier,laniebo01,8,8,0
Yao Ming,mingya01,8,8,0
Dikembe Mutombo,mutomdi01,8,8,0
Steve Nash,nashst01,8,8,0
Bill Sharman,sharmbi01,8,8,0
LaMarcus Aldridge,aldrila01,7,7,0
Dave Bing,bingda01,7,7,0
Louie Dampier,dampilo01,7,0,7
Mel Daniels,danieme01,7,0,7
Walt Frazier,fraziwa01,7,7,0
Harry Gallatin,gallaha01,7,7,0
Paul George,georgpa01,7,7,0
Grant Hill,hillgr01,7,7,0
Kyrie Irving,irvinky01,7,7,0
Dan Issel,isselda01,7,1,6
Joe Johnson,johnsjo02,7,7,0
Jerry Lucas,lucasje01,7,7,0
Ed Macauley,macaued01,7,7,0
Slater Martin,martisl01,7,7,0
Tracy McGrady,mcgratr01,7,7,0
Dick McGuire,mcguidi01,7,7,0
Kevin McHale,mchalke01,7,7,0
Alonzo Mourning,mournal01,7,7,0
Scottie Pippen,pippesc01,7,7,0
Willis Reed,reedwi01,7,7,0
Jack Sikma,sikmaja01,7,7,0
Nate Thurmond,thurmna01,7,7,0
Chet Walker,walkech01,7,7,0
Jo Jo White,whitejo01,7,7,0
James Worthy,worthja01,7,7,0
Giannis Antetokounmpo,antetgi01,6,6,0
Tiny Archibald,architi01,6,6,0
Jimmy Butler,butleji01,6,6,0
Larry Costello,costela01,6,6,0
Adrian Dantley,dantlad01,6,6,0
Walter Davis,daviswa03,6,6,0
Joe Dumars,dumarjo01,6,6,0
Pau Gasol,gasolpa01,6,6,0
Blake Griffin,griffbl01,6,6,0
Richie Guerin,gueriri01,6,6,0
Cliff Hagan,hagancl01,6,5,1
Tom Heinsohn,heinsto01,6,6,0
Bailey Howell,howelba01,6,6,0
Lou Hudson,hudsolo01,6,6,0
Neil Johnston,johnsne01,6,6,0
Jimmy Jones,jonesji01,6,0,6
Shawn Kemp,kempsh01,6,6,0
Damian Lillard,lillada01,6,6,0
Kyle Lowry,lowryky01,6,6,0
George McGinnis,mcginge01,6,3,3
Vern Mikkelsen,mikkeve01,6,6,0
Jermaine O'Neal,onealje01,6,6,0
Tony Parker,parketo01,6,6,0
Mitch Richmond,richmmi01,6,6,0
Amar'e Stoudemire,stoudam01,6,6,0
Jack Twyman,twymaja01,6,6,0
George Yardley,yardlge01,6,6,0
Zelmo Beaty,beatyze01,5,2,3
Chauncey Billups,billuch01,5,5,0
Carl Braun,braunca01,5,5,0
Mack Calvin,calvima01,5,0,5
Billy Cunningham,cunnibi01,5,4,1
Brad Daugherty,daughbr01,5,5,0
DeMar DeRozan,derozde01,5,5,0
Joel Embiid,embiijo01,5,5,0
Wayne Embry,embrywa01,5,5,0
Donnie Freeman,freemdo01,5,0,5
Tom Gola,golato01,5,5,0
Gail Goodrich,goodrga01,5,5,0
Tim Hardaway,hardati01,5,5,0
Connie Hawkins,hawkico01,5,4,1
Spencer Haywood,haywosp01,5,4,1
Al Horford,horfoal01,5,5,0
Dennis Johnson,johnsde01,5,5,0
Gus Johnson,johnsgu01,5,5,0
Marques Johnson,johnsma01,5,5,0
Bobby Jones,jonesbo01,5,4,1
Sam Jones,jonessa01,5,5,0
Larry Kenon,kenonla01,5,2,3
Rudy LaRusso,larusru01,5,5,0
Kawhi Leonard,leonaka01,5,5,0
Kevin Love,loveke01,5,5,0
Maurice Lucas,lucasma01,5,4,1
Pete Maravich,maravpe01,5,5,0
Bob McAdoo,mcadobo01,5,5,0
Reggie Miller,millere01,5,5,0
Sidney Moncrief,moncrsi01,5,5,0
