name,pID,height,weight,birthYr,firstSeasonID
Alaa Abdelnaby,abdelal01,82,240,1968,1991
Mahmoud Abdul-Rauf,abdulma02,73,162,1969,1991
Tariq Abdul-Wahad,abdulta01,78,223,1974,1998
Shareef Abdur-Rahim,abdursh01,81,225,1976,1997
Álex Abrines,abrinal01,78,200,1993,2017
Precious Achiuwa,achiupr01,80,225,1999,2021
Alex Acker,ackeral01,77,185,1983,2006
Mark Acres,acresma01,83,220,1962,1988
Quincy Acy,acyqu01,79,240,1990,2013
Hassan Adams,adamsha01,76,220,1984,2007
Jaylen Adams,adamsja01,72,225,1996,2019
Jordan Adams,adamsjo01,77,209,1994,2015
Michael Adams,adamsmi01,70,162,1963,1986
Steven Adams,adamsst01,83,265,1993,2014
Rafael Addison,addisra01,79,215,1964,1987
Bam Adebayo,adebaba01,81,255,1997,2018
Deng Adel,adelde01,79,200,1997,2019
Jeff Adrien,adrieje01,79,245,1986,2011
Arron Afflalo,afflaar01,77,210,1985,2008
Maurice Ager,agerma01,77,202,1984,2007
Mark Aguirre,aguirma01,78,232,1959,1982
Blake Ahearn,ahearbl01,74,190,1984,2008
Danny Ainge,aingeda01,76,175,1959,1982
Alexis Ajinça,ajincal01,86,248,1988,2009
Josh Akognon,akognjo01,71,185,1986,2013
DeVaughn Akoon-Purcell,akoonde01,78,200,1993,2019
Solomon Alabi,alabiso01,85,251,1988,2011
Mark Alarie,alarima01,80,217,1963,1987
Santi Aldama,aldamsa01,83,224,2001,2022
Furkan Aldemir,aldemfu01,82,240,1991,2015
Cole Aldrich,aldrico01,83,250,1988,2011
LaMarcus Aldridge,aldrila01,83,250,1985,2007
Cliff Alexander,alexacl01,80,245,1995,2016
Cory Alexander,alexaco01,73,185,1973,1996
Courtney Alexander,alexaco02,77,205,1977,2001
Gary Alexander,alexaga01,79,240,1969,1994
Joe Alexander,alexajo01,80,230,1986,2009
Kyle Alexander,alexaky01,83,220,1996,2020
Nickeil Alexander-Walker,alexani01,78,205,1998,2020
Ty-Shon Alexander,alexaty01,75,195,1998,2021
Victor Alexander,alexavi01,81,265,1969,1992
Steve Alford,alforst01,74,183,1964,1988
Rawle Alkins,alkinra01,77,225,1997,2019
Grayson Allen,allengr01,76,198,1995,2019
Jarrett Allen,allenja01,83,243,1998,2018
Jerome Allen,allenje01,76,184,1973,1996
Kadeem Allen,allenka01,73,200,1993,2018
Lavoy Allen,allenla01,81,260,1989,2012
Malik Allen,allenma01,82,255,1978,2002
Randy Allen,allenra01,80,220,1965,1989
Ray Allen,allenra02,77,205,1975,1997
Tony Allen,allento01,76,213,1982,2005
Lance Allred,allrela01,83,250,1981,2008
Morris Almond,almonmo01,78,225,1985,2008
Derrick Alston,alstode01,83,225,1972,1995
Rafer Alston,alstora01,74,171,1976,2000
Peter Aluma,alumape01,82,260,1973,1999
Jose Alvarado,alvarjo01,72,179,1998,2022
John Amaechi,amaecjo01,82,270,1970,1996
Ashraf Amaya,amayaas01,80,230,1971,1996
Al-Farouq Aminu,aminual01,80,220,1990,2011
Lou Amundson,amundlo01,81,220,1982,2007
Alan Anderson,anderal01,78,220,1982,2006
Antonio Anderson,anderan02,78,215,1985,2010
Chris Andersen,anderch01,82,245,1978,2002
David Andersen,anderda03,83,245,1980,2010
Derek Anderson,anderde01,77,194,1974,1998
Eric Anderson,anderer01,81,220,1970,1993
Greg Anderson,andergr01,82,230,1964,1988
James Anderson,anderja01,78,213,1989,2011
Justin Anderson,anderju01,78,230,1993,2016
Kenny Anderson,anderke01,72,168,1970,1992
Kyle Anderson,anderky01,81,230,1993,2015
Nick Anderson,anderni01,78,205,1968,1990
Richard Anderson,anderri01,82,240,1960,1983
Ron Anderson,anderro01,79,215,1958,1985
Ryan Anderson,anderry01,81,240,1988,2009
Shandon Anderson,andersh01,78,208,1973,1997
Willie Anderson,anderwi01,79,190,1967,1989
Martynas Andriuškevičius,andrima01,86,240,1986,2006
Ike Anigbogu,anigbik01,82,250,1998,2018
Michael Ansley,anslemi01,79,225,1967,1990
Chris Anstey,anstech01,84,249,1975,1998
Giannis Antetokounmpo,antetgi01,83,242,1994,2014
Kostas Antetokounmpo,antetko01,82,200,1997,2019
Thanasis Antetokounmpo,antetth01,78,219,1992,2016
Carmelo Anthony,anthoca01,79,238,1984,2004
Cole Anthony,anthoco01,74,185,2000,2021
Greg Anthony,anthogr01,72,176,1967,1992
Joel Anthony,anthojo01,81,245,1982,2008
Pero Antić,anticpe01,83,260,1982,2014
OG Anunoby,anunoog01,79,232,1997,2018
Keith Appling,applike01,73,185,1992,2016
Rafael Araújo,araujra01,83,280,1980,2005
Robert Archibald,archiro01,83,250,1980,2003
Ryan Arcidiacono,arcidry01,75,195,1994,2018
Gilbert Arenas,arenagi01,76,191,1982,2002
Trevor Ariza,arizatr01,80,215,1985,2005
B.J. Armstrong,armstbj01,74,175,1967,1990
Brandon Armstrong,armstbr01,77,188,1980,2002
Darrell Armstrong,armstda01,72,170,1968,1995
Hilton Armstrong,armsthi01,83,235,1984,2007
Carlos Arroyo,arroyca01,74,202,1979,2002
Metta World Peace,artesro01,79,260,1979,2000
Darrell Arthur,arthuda01,81,235,1988,2009
Jamel Artis,artisja01,79,213,1993,2018
Ömer Aşık,asikom01,84,255,1986,2011
Vincent Askew,askewvi01,78,210,1966,1988
Keith Askins,askinke01,79,197,1967,1991
Chucky Atkins,atkinch01,71,160,1974,2000
Stacey Augmon,augmost01,80,205,1968,1992
D.J. Augustin,augusdj01,71,183,1987,2009
James Augustine,augusja01,82,235,1984,2007
Isaac Austin,austiis01,82,255,1969,1992
Deni Avdija,avdijde01,81,210,2001,2021
Anthony Avent,aventan01,81,235,1969,1993
William Avery,averywi01,74,197,1979,2000
Joel Ayayi,ayayijo01,77,180,2000,2022
Gustavo Ayón,ayongu01,82,250,1985,2012
Deandre Ayton,aytonde01,83,250,1998,2019
Kelenna Azubuike,azubuke01,77,220,1983,2007
Udoka Azubuike,azubuud01,82,280,1999,2021
Chris Babb,babbch01,77,225,1990,2014
Luke Babbitt,babbilu01,81,225,1989,2011
Miloš Babić,babicmi01,84,240,1968,1991
Dwayne Bacon,bacondw01,78,221,1995,2018
Dalibor Bagarić,bagarda01,85,255,1980,2001
John Bagley,baglejo01,72,185,1960,1983
Marvin Bagley III,baglema01,83,235,1999,2019
Thurl Bailey,baileth01,83,215,1961,1984
Toby Bailey,baileto01,78,213,1975,1999
Cameron Bairstow,bairsca01,81,250,1990,2015
Mark Baker,bakerla01,73,175,1969,1999
Maurice Baker,bakerma01,73,175,1979,2005
Ron Baker,bakerro01,76,220,1993,2017
Vin Baker,bakervi01,83,232,1971,1994
Wade Baldwin,baldwwa01,76,200,1996,2017
Renaldo Balkman,balkmre01,80,208,1984,2007
